"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","21-Oct-2022","       1500.90","       1500.30","       1506.00","       1491.35","       1500.60","       1500.50","       1499.85","    3594485","          5391188978.50","      98291","    1531306","         61.46"
"INFY","EQ","24-Oct-2022","       1500.50","       1518.50","       1521.80","       1511.00","       1518.20","       1517.85","       1518.55","     982837","          1492489542.85","      56514","     635594","         64.67"
"INFY","EQ","25-Oct-2022","       1517.85","       1528.10","       1532.90","       1521.05","       1526.00","       1526.30","       1526.88","    3914341","          5976717984.90","     119608","    2565830","         65.55"
"INFY","EQ","27-Oct-2022","       1526.30","       1530.80","       1534.90","       1512.50","       1525.55","       1523.95","       1523.65","    6760137","         10300114909.65","     168640","    4368210","         64.62"
"INFY","EQ","28-Oct-2022","       1523.95","       1526.00","       1527.95","       1507.00","       1512.50","       1513.25","       1515.77","    3053981","          4629123565.05","     147417","    1388345","         67.72"
"INFY","EQ","31-Oct-2022","       1513.25","       1530.25","       1546.40","       1530.25","       1539.25","       1537.65","       1537.80","    4542336","          6985210435.60","     136286","    2526360","         55.62"
"INFY","EQ","01-Nov-2022","       1537.65","       1553.05","       1575.00","       1547.10","       1572.00","       1573.00","       1561.63","    4542692","          7094018928.95","     158171","    2715922","         59.79"
"INFY","EQ","02-Nov-2022","       1573.00","       1572.00","       1572.75","       1545.00","       1553.05","       1553.30","       1553.19","    2938906","          4564665624.40","     116831","    1625301","         55.30"
"INFY","BL","03-Nov-2022","       1413.45","       1553.30","       1553.30","       1553.30","       1553.30","       1553.30","       1553.30","    4849687","          7533018817.10","          1","-","-"
"INFY","EQ","03-Nov-2022","       1553.30","       1538.75","       1543.90","       1521.65","       1530.80","       1530.75","       1531.83","    3174027","          4862085395.75","     131708","    1673434","         52.72"
"INFY","EQ","04-Nov-2022","       1530.75","       1520.45","       1520.45","       1501.15","       1516.00","       1514.00","       1509.47","    4509682","          6807247315.10","     155259","    2356424","         52.25"
"INFY","EQ","07-Nov-2022","       1514.00","       1521.40","       1527.90","       1491.10","       1507.00","       1507.45","       1506.07","    4898592","          7377630657.10","     175332","    2938456","         59.99"
"INFY","EQ","09-Nov-2022","       1507.45","       1529.00","       1529.00","       1501.10","       1509.60","       1511.20","       1515.75","    3334755","          5054651934.85","     101945","    1845609","         55.34"
"INFY","EQ","10-Nov-2022","       1511.20","       1485.00","       1512.00","       1485.00","       1503.00","       1501.95","       1501.42","    3435763","          5158511137.70","     114576","    1995097","         58.07"
"INFY","EQ","11-Nov-2022","       1501.95","       1546.65","       1573.50","       1546.65","       1570.70","       1570.10","       1563.49","    7214098","         11279201381.35","     233749","    4255303","         58.99"
"INFY","EQ","14-Nov-2022","       1570.10","       1575.15","       1591.40","       1568.45","       1582.00","       1585.30","       1583.45","    4908813","          7772857521.60","     134054","    3045948","         62.05"
"INFY","EQ","15-Nov-2022","       1585.30","       1577.85","       1597.85","       1572.75","       1596.00","       1594.00","       1585.55","    3497614","          5545624935.75","     122547","    2390003","         68.33"
"INFY","EQ","16-Nov-2022","       1594.00","       1597.15","       1609.00","       1593.50","       1601.00","       1602.80","       1602.60","    4497697","          7208007205.85","     176176","    2283281","         64.59"
"INFY","EQ","17-Nov-2022","       1602.80","       1597.20","       1602.80","       1582.95","       1585.60","       1587.40","       1592.58","    3469515","          5525464430.50","     107072","    2230119","         64.28"
"INFY","EQ","18-Nov-2022","       1587.40","       1591.70","       1598.00","       1575.50","       1594.40","       1593.40","       1586.37","    3126064","          4959081574.45","     123526","    1930218","         61.75"
"INFY","EQ","21-Nov-2022","       1593.40","       1582.10","       1587.85","       1564.05","       1567.00","       1568.20","       1571.24","    3071764","          4826480055.75","     127843","    1989342","         64.76"
"INFY","EQ","22-Nov-2022","       1568.20","       1569.00","       1588.00","       1562.00","       1586.90","       1585.05","       1576.03","    3399329","          5357454857.50","     132533","    2451044","         72.10"
"INFY","EQ","23-Nov-2022","       1585.05","       1588.90","       1592.00","       1579.30","       1582.55","       1583.15","       1585.17","    3245067","          5143987144.95","      99116","    2167879","         66.81"
"INFY","EQ","24-Nov-2022","       1583.15","       1589.00","       1636.00","       1584.75","       1635.00","       1629.80","       1614.88","    5282215","          8530167324.35","     154105","    3050333","         57.75"
"INFY","EQ","25-Nov-2022","       1629.80","       1631.40","       1644.00","       1613.80","       1630.05","       1635.65","       1627.35","    4563255","          7426019017.25","     181147","    2585653","         56.66"
"INFY","EQ","28-Nov-2022","       1635.65","       1628.00","       1653.50","       1620.00","       1621.20","       1623.40","       1637.55","    3825766","          6264902015.65","     144926","    2086038","         54.53"
"INFY","EQ","29-Nov-2022","       1623.40","       1621.20","       1638.75","       1615.05","       1626.80","       1629.05","       1627.46","    3131710","          5096717761.50","     116838","    1733630","         55.36"
"INFY","EQ","30-Nov-2022","       1629.05","       1619.95","       1645.75","       1613.15","       1639.00","       1634.95","       1630.66","   11868134","         19352938429.15","     157980","    7845626","         66.11"
"INFY","EQ","01-Dec-2022","       1634.95","       1656.20","       1672.60","       1652.30","       1655.75","       1657.10","       1660.59","    5407928","          8980336641.45","     214832","    2911901","         53.85"
"INFY","EQ","02-Dec-2022","       1657.10","       1656.00","       1661.80","       1633.95","       1640.95","       1637.90","       1642.69","    4283343","          7036188257.60","     144010","    2883697","         67.32"
"INFY","EQ","05-Dec-2022","       1637.90","       1638.00","       1644.85","       1623.30","       1638.65","       1639.75","       1634.50","    3824966","          6251921099.20","     133011","    2527285","         66.07"
"INFY","EQ","06-Dec-2022","       1639.75","       1625.00","       1626.00","       1607.55","       1614.00","       1612.90","       1614.65","    4822398","          7786470439.30","     162481","    3140900","         65.13"
"INFY","EQ","07-Dec-2022","       1612.90","       1608.00","       1623.80","       1596.70","       1602.00","       1605.50","       1612.56","    4898087","          7898460952.45","     150548","    3042096","         62.11"
"INFY","EQ","08-Dec-2022","       1605.50","       1605.50","       1623.90","       1598.50","       1619.50","       1620.15","       1611.67","    4206837","          6780022875.80","     156038","    2885575","         68.59"
"INFY","EQ","09-Dec-2022","       1620.15","       1628.00","       1628.00","       1561.10","       1570.20","       1569.30","       1581.54","    8880658","         14045108335.70","     324427","    5884957","         66.27"
"INFY","EQ","12-Dec-2022","       1569.30","       1550.00","       1565.95","       1530.05","       1545.20","       1547.20","       1545.76","    8037679","         12424327971.90","     252048","    4932699","         61.37"
